observ;barrio;calle;altura;institu1;institu3;distanci;edpub;estserv;banco;totrob;mes
870;Once;Cordoba;a2300;0;1;1;1;0;0;0;4
851;Once;Tucuman;a2400;0;0;2;0;0;0;0;4
843;Once;Lavalle;a2300;1;1;0;0;0;1;0;4
796;Once;Pasteur;a500;0;1;1;0;0;0;0;4
790;Once;Azcuenaga;a700;1;1;0;0;0;0;0;4
789;Once;Azcuenaga;a600;0;1;1;0;0;0;0;4
844;Once;Lavalle;a2400;1;1;0;0;0;0;0;4
858;Once;Viamonte;a2400;0;1;1;0;0;1;0;4
787;Once;Azcuenaga;a400;0;1;1;0;0;1;0;4
850;Once;Tucuman;a2300;0;1;1;0;0;0;0;4
864;Once;San Luis;a2400;0;1;1;0;0;0;0;4
871;Once;Cordoba;a2400;0;1;1;0;0;0;0;4
857;Once;Viamonte;a2300;1;1;0;0;0;0;0;4
795;Once;Pasteur;a400;0;1;1;0;0;0;0;4
788;Once;Azcuenaga;a500;0;1;1;0;0;1;0;4
797;Once;Pasteur;a600;1;1;0;0;0;0;0;4
798;Once;Pasteur;a700;0;1;1;0;0;0;0;4
836;Once;Corrientes;a2400;0;0;2;0;0;1;0;4
794;Once;Pasteur;a300;0;1;1;0;0;0;0;4
784;Once;Azcuenaga;a100;0;1;1;0;0;0;0;4
814;Once;Tte. Gral. Peron;a2300;0;1;1;0;0;0;0;4
808;Once;Bartolome Mitre;a2400;0;0;2;0;0;0;0;4
835;Once;Corrientes;a2300;0;0;2;0;0;1;0;4
815;Once;Tte. Gral. Peron;a2400;1;1;0;0;0;0;0;4
822;Once;Sarmiento;a2300;0;1;1;0;0;0;0;4
800;Once;Rivadavia;a2400;0;0;3;1;0;1;0;4
791;Once;Pasteur;a0-100;0;0;3;0;0;0;0;4
785;Once;Azcuenaga;a200;0;1;1;0;0;0;0;4
799;Once;Rivadavia;a2300;0;0;3;0;0;0;0;4
793;Once;Pasteur;a200;0;1;1;0;0;0;0;4
786;Once;Azcuenaga;a300;0;0;2;0;0;1;0;4
783;Once;Azcuenaga;a0-100;0;0;2;0;0;0;0;4
823;Once;Sarmiento;a2400;0;0;2;0;0;0;1;4
792;Once;Pasteur;a100;0;0;2;0;0;0;0;4
807;Once;Bartolome Mitre;a2300;0;0;2;0;0;0;0;4
781;Once;Larrea;a700-750;0;0;2;0;0;0;0;4
780;Once;Larrea;a600;0;0;2;0;0;0;0;4
782;Once;Larrea;a750-800;0;0;2;0;0;0;0;4
779;Once;Larrea;a500;0;1;1;0;0;0;0;4
778;Once;Larrea;a400;0;1;1;0;0;1;0;4
774;Once;Larrea;a0-100;0;0;2;0;0;1;0;4
776;Once;Larrea;a200;0;1;1;0;0;0;0;4
777;Once;Larrea;a300;0;0;2;0;0;0;0;4
775;Once;Larrea;a100;0;1;1;0;0;0;0;4
701;V. Crespo;Aguirre;a300;0;0;2;0;0;0;0;4
699;V. Crespo;Aguirre;a100;0;0;3;0;0;0;0;4
541;V. Crespo;Lavalleja;a500;0;0;3;0;0;0;1;4
687;V. Crespo;Velasco;a0-100;0;0;4;0;0;0;0;4
689;V. Crespo;Velasco;a200;0;0;3;0;0;0;0;4
698;V. Crespo;Aguirre;a0-100;0;0;4;0;0;0;0;4
688;V. Crespo;Velasco;a100;0;0;4;0;0;0;0;4
700;V. Crespo;Aguirre;a200;0;0;2;0;0;0;1;4
534;V. Crespo;Julian Alvarez;a400;0;0;3;0;0;0;0;4
540;V. Crespo;Lavalleja;a400;0;0;3;0;0;0;0;4
546;V. Crespo;Frias;a400;0;0;4;0;0;0;1;4
679;V. Crespo;Vera;a300;0;0;3;0;0;0;0;4
535;V. Crespo;Julian Alvarez;a500;0;0;2;0;0;0;0;4
859;Once;Viamonte;a2500;0;0;2;0;0;0;0;4
863;Once;Viamonte;a2900;0;1;1;0;0;0;0;4
874;Once;Cordoba;a2600-2650;0;1;1;0;0;0;0;4
771;Once;Paso;a600;0;0;2;0;0;1;0;4
758;Once;Pueyrredon;a800;0;0;2;1;0;0;0;4
739;Once;Ecuador;a700;0;1;1;0;0;0;1;4
759;Once;Pueyrredon;a900;0;0;2;0;0;0;0;4
868;Once;San Luis;a2800;0;1;1;0;0;0;1;4
866;Once;San Luis;a2600;0;1;1;0;0;0;0;4
747;Once;Boulogne Sur Mer;a700;0;1;1;0;0;0;0;4
773;Once;Paso;a750-800;1;1;0;0;0;0;0;4
741;Once;Ecuador;a900;1;1;0;0;1;0;0;4
731;Once;Jean Jaures;a800;0;1;1;0;1;0;0;4
748;Once;Boulogne Sur Mer;a800;0;1;1;0;0;0;0;4
865;Once;San Luis;a2500;0;1;1;0;0;0;0;4
860;Once;Viamonte;a2600;0;0;2;0;0;0;0;4
772;Once;Paso;a700-750;0;1;1;0;0;0;0;4
749;Once;Boulogne Sur Mer;a900;1;1;0;0;0;0;0;4
876;Once;Cordoba;a2700;0;1;1;0;0;0;0;4
732;Once;Jean Jaures;a900;0;0;2;0;0;0;0;4
875;Once;Cordoba;a2650-2700;0;1;1;0;0;0;0;4
861;Once;Viamonte;a2700;0;0;2;0;0;0;0;4
862;Once;Viamonte;a2800;0;0;2;0;0;0;0;4
872;Once;Cordoba;a2500-2550;0;1;1;0;0;0;0;4
867;Once;San Luis;a2700;0;1;1;0;0;0;0;4
869;Once;San Luis;a2900;0;1;1;0;0;0;0;4
757;Once;Pueyrredon;a700;0;1;1;0;0;0;0;4
740;Once;Ecuador;a800;0;1;1;0;0;0;0;4
873;Once;Cordoba;a2550-2600;0;1;1;0;0;1;0;4
770;Once;Paso;a500;0;1;1;0;0;0;0;4
737;Once;Ecuador;a500;1;1;0;0;0;0;0;4
746;Once;Boulogne Sur Mer;a600;1;1;0;0;0;0;1;4
848;Once;Lavalle;a2800;0;1;1;0;0;0;0;4
755;Once;Pueyrredon;a500;0;1;1;1;0;1;0;4
738;Once;Ecuador;a600;1;1;0;0;0;0;0;4
745;Once;Boulogne Sur Mer;a500;0;1;1;0;0;0;0;4
769;Once;Paso;a400;1;1;0;0;0;0;0;4
846;Once;Lavalle;a2600;0;1;1;1;0;0;0;4
845;Once;Lavalle;a2500;0;1;1;0;0;0;0;4
756;Once;Pueyrredon;a600;1;1;0;0;0;1;0;4
729;Once;Jean Jaures;a600;0;1;1;0;0;0;0;4
730;Once;Jean Jaures;a700;1;1;0;0;0;0;0;4
